Date,Open,High,Low,Close,Volume,OpenInt
21-07-2010,24.333,24.333,23.946,23.946,43321,0
22-07-2010,24.644,24.644,24.362,24.487,18031,0
23-07-2010,24.759,24.759,24.314,24.507,8897,0
26-07-2010,24.624,24.624,24.449,24.595,19443,0
27-07-2010,24.477,24.517,24.431,24.517,8456,0
28-07-2010,24.477,24.517,24.352,24.431,4967,0
29-07-2010,24.527,24.527,24.256,24.256,1238,0
30-07-2010,24.228,24.333,24.228,24.333,618,0
02-08-2010,24.916,24.926,24.664,24.839,7161,0
03-08-2010,24.966,25.069,24.966,25.042,11516,0
04-08-2010,25.069,25.069,25.069,25.069,513,0
05-08-2010,25.118,25.118,25.118,25.118,513,0
06-08-2010,24.537,24.926,24.537,24.926,720,0
09-08-2010,25.207,25.429,25.207,25.265,5620,0
10-08-2010,25.285,25.285,25.285,25.285,513,0
11-08-2010,24.401,24.401,24.401,24.401,101,0
12-08-2010,24.276,24.276,24.276,24.276,1032,0
13-08-2010,24.401,24.401,24.401,24.401,101,0
16-08-2010,24.507,24.507,24.467,24.467,3094,0
17-08-2010,24.789,24.966,24.789,24.966,6704,0
18-08-2010,25.013,25.109,25.013,25.109,587,0
19-08-2010,24.966,24.966,24.966,24.966,513,0
20-08-2010,24.537,24.537,24.517,24.527,1238,0
23-08-2010,24.557,24.557,24.557,24.557,206,0
24-08-2010,24.14,24.198,24.14,24.198,3920,0
25-08-2010,24.091,24.111,24.091,24.111,720,0
26-08-2010,24.352,24.381,24.238,24.238,7736,0
27-08-2010,24.333,24.487,24.188,24.487,10547,0
30-08-2010,24.517,24.517,24.517,24.517,309,0
31-08-2010,24.527,24.567,24.507,24.567,1057,0
01-09-2010,24.888,25.158,24.888,25.158,1545,0
02-09-2010,25.236,25.236,25.236,25.236,101,0
03-09-2010,25.507,25.507,25.429,25.429,4359,0
07-09-2010,25.429,25.429,25.429,25.429,101,0
08-09-2010,25.556,25.651,25.497,25.497,4127,0
09-09-2010,25.708,25.708,25.708,25.708,824,0
10-09-2010,25.806,25.806,25.708,25.747,1960,0
13-09-2010,26.039,26.244,26.039,26.244,216,0
14-09-2010,26.312,26.35,26.312,26.312,1244,0
15-09-2010,26.408,26.437,26.399,26.437,1545,0
16-09-2010,26.486,26.486,26.486,26.486,206,0
17-09-2010,26.389,26.408,26.389,26.408,568,0
20-09-2010,26.893,26.96,26.893,26.96,513,0
21-09-2010,26.816,26.903,26.816,26.903,441,0
22-09-2010,26.786,26.866,26.69,26.737,31669,0
23-09-2010,26.999,26.999,26.747,26.846,4898,0
24-09-2010,26.933,27.076,26.933,27.076,15988,0
27-09-2010,27.242,27.301,27.223,27.301,11244,0
28-09-2010,27.223,27.397,27.223,27.36,7428,0
29-09-2010,27.397,27.456,27.369,27.456,103201,0
30-09-2010,27.504,27.504,27.34,27.35,5076,0
01-10-2010,27.436,27.436,27.436,27.436,5158,0
04-10-2010,27.874,27.874,27.145,27.194,22136,0
05-10-2010,27.466,27.786,27.466,27.776,71865,0
06-10-2010,27.874,27.874,27.639,27.698,4961,0
07-10-2010,27.718,27.718,27.523,27.523,3457,0
08-10-2010,27.59,27.688,27.59,27.649,1092,0
11-10-2010,27.815,27.815,27.756,27.756,824,0
12-10-2010,27.766,27.883,27.582,27.883,2037,0
13-10-2010,28.278,28.278,28.268,28.268,1213,0
14-10-2010,28.24,28.24,27.893,28.078,3851,0
15-10-2010,27.903,27.903,27.883,27.893,791,0
18-10-2010,27.912,27.912,27.912,27.912,513,0
19-10-2010,27.436,27.533,27.34,27.34,1960,0
20-10-2010,27.708,27.824,27.708,27.824,618,0
21-10-2010,28.019,28.155,28.019,28.155,436,0
22-10-2010,28.115,28.598,28.115,28.598,513,0
25-10-2010,28.783,28.783,28.278,28.288,3958,0
26-10-2010,27.951,28.019,27.941,28.009,1069,0
27-10-2010,27.99,27.99,27.99,27.99,116,0
28-10-2010,27.893,27.893,27.893,27.893,206,0
29-10-2010,27.98,27.98,27.98,27.98,309,0
01-11-2010,28.039,28.039,28.039,28.039,458,0
02-11-2010,28.135,28.135,28.135,28.135,206,0
03-11-2010,28.203,28.221,28.203,28.221,395,0
04-11-2010,28.588,28.588,28.548,28.568,3273,0
05-11-2010,28.54,28.54,28.308,28.338,521,0
08-11-2010,27.115,28.318,27.115,28.318,2374,0
09-11-2010,28.249,28.406,28.164,28.164,1238,0
10-11-2010,28.145,28.145,28.145,28.145,101,0
11-11-2010,28.039,28.106,28.039,28.106,316,0
12-11-2010,28.125,28.125,26.196,27.815,5584,0
15-11-2010,28.308,28.308,27.903,27.903,513,0
17-11-2010,27.388,27.514,27.321,27.456,3353,0
18-11-2010,27.659,27.659,27.659,27.659,101,0
22-11-2010,27.951,28.096,27.815,28.096,1546,0
23-11-2010,27.416,27.416,27.416,27.416,1032,0
24-11-2010,27.776,27.776,27.776,27.776,824,0
26-11-2010,27.756,27.864,27.718,27.864,2944,0
29-11-2010,27.718,27.718,27.514,27.514,983,0
30-11-2010,27.514,27.514,27.436,27.436,1856,0
01-12-2010,27.698,27.903,27.698,27.903,1683,0
